===============================================================================
Id,TSLA,len,datetime,open,high,low,close,volume,openinterest,adjclose,TestStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
65,TSLA,65,2018-04-05 23:59:59.999989,289.34,306.26,288.2,305.72,19121100.0,0.0,305.720001,TestStrategy,65,736789.9999999999,Broker,65,1000.0,1000.0,BuySell,65,,,Trades - Net Profit/Loss,65,,
66,TSLA,66,2018-04-06 23:59:59.999989,301.0,309.28,295.5,299.3,13520300.0,0.0,299.299988,TestStrategy,66,736790.9999999999,Broker,66,1000.0,1000.0,BuySell,66,,,Trades - Net Profit/Loss,66,,
67,TSLA,67,2018-04-09 23:59:59.999989,300.37,309.5,289.21,289.66,10249800.0,0.0,289.660004,TestStrategy,67,736793.9999999999,Broker,67,1000.0,1000.0,BuySell,67,,,Trades - Net Profit/Loss,67,,
68,TSLA,68,2018-04-10 23:59:59.999989,298.97,307.1,293.68,304.7,10989800.0,0.0,304.700012,TestStrategy,68,736794.9999999999,Broker,68,1000.0,1000.0,BuySell,68,,,Trades - Net Profit/Loss,68,,
69,TSLA,69,2018-04-11 23:59:59.999989,300.74,308.98,299.66,300.93,7482900.0,0.0,300.929993,TestStrategy,69,736795.9999999999,Broker,69,1000.0,1000.0,BuySell,69,,,Trades - Net Profit/Loss,69,,
70,TSLA,70,2018-04-12 23:59:59.999989,302.32,303.95,293.68,294.08,7608800.0,0.0,294.079987,TestStrategy,70,736796.9999999999,Broker,70,1000.0,1000.0,BuySell,70,,,Trades - Net Profit/Loss,70,,
71,TSLA,71,2018-04-13 23:59:59.999989,303.6,303.95,295.98,300.34,7327200.0,0.0,300.339996,TestStrategy,71,736797.9999999999,Broker,71,1000.0,1000.0,BuySell,71,,,Trades - Net Profit/Loss,71,,
72,TSLA,72,2018-04-16 23:59:59.999989,299.0,299.66,289.01,291.21,6338500.0,0.0,291.209991,TestStrategy,72,736800.9999999999,Broker,72,1000.0,1000.0,BuySell,72,,,Trades - Net Profit/Loss,72,,
73,TSLA,73,2018-04-17 23:59:59.999989,288.87,292.17,282.51,287.69,7000000.0,0.0,287.690002,TestStrategy,73,736801.9999999999,Broker,73,1000.0,1000.0,BuySell,73,,,Trades - Net Profit/Loss,73,,
74,TSLA,74,2018-04-18 23:59:59.999989,291.08,300.24,288.16,293.35,6557700.0,0.0,293.350006,TestStrategy,74,736802.9999999999,Broker,74,1000.0,1000.0,BuySell,74,,,Trades - Net Profit/Loss,74,,
75,TSLA,75,2018-04-19 23:59:59.999989,291.08,301.01,288.55,300.08,6090600.0,0.0,300.079987,TestStrategy,75,736803.9999999999,Broker,75,1000.0,1000.0,BuySell,75,,,Trades - Net Profit/Loss,75,,
76,TSLA,76,2018-04-20 23:59:59.999989,295.17,299.98,289.75,290.24,5627900.0,0.0,290.23999,TestStrategy,76,736804.9999999999,Broker,76,1000.0,1000.0,BuySell,76,,,Trades - Net Profit/Loss,76,,
77,TSLA,77,2018-04-23 23:59:59.999989,291.29,291.62,282.33,283.37,4893400.0,0.0,283.369995,TestStrategy,77,736807.9999999999,Broker,77,1000.0,1000.0,BuySell,77,,,Trades - Net Profit/Loss,77,,
78,TSLA,78,2018-04-24 23:59:59.999989,285.0,287.09,278.46,283.46,5685300.0,0.0,283.459991,TestStrategy,78,736808.9999999999,Broker,78,1000.0,1000.0,BuySell,78,,,Trades - Net Profit/Loss,78,,
79,TSLA,79,2018-04-25 23:59:59.999989,283.5,285.16,277.25,280.69,4013600.0,0.0,280.690002,TestStrategy,79,736809.9999999999,Broker,79,1000.0,1000.0,BuySell,79,,,Trades - Net Profit/Loss,79,,
80,TSLA,80,2018-04-26 23:59:59.999989,278.75,285.79,276.5,285.48,4356000.0,0.0,285.480011,TestStrategy,80,736810.9999999999,Broker,80,1000.0,1000.0,BuySell,80,,,Trades - Net Profit/Loss,80,,
