===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,cruceSMA_,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
67,,67,2020-04-06 00:00:00,62.724998474121094,65.77749633789062,62.345001220703125,65.61750030517578,201820400.0,,cruceSMA_,67,737521.0,Broker,67,343.26499938964844,212.02999877929688,BuySell,67,,,Trades - Net Profit/Loss,67,,
68,,68,2020-04-07 00:00:00,67.69999694824219,67.92500305175781,64.75,64.85749816894531,202887200.0,,cruceSMA_,68,737522.0,Broker,68,343.26499938964844,213.5500030517578,BuySell,68,,,Trades - Net Profit/Loss,68,,
69,,69,2020-04-08 00:00:00,65.68499755859375,66.84249877929688,65.30750274658203,66.51750183105469,168895200.0,,cruceSMA_,69,737523.0,Broker,69,343.26499938964844,210.22999572753906,BuySell,69,,,Trades - Net Profit/Loss,69,,
70,,70,2020-04-09 00:00:00,67.17500305175781,67.51750183105469,66.17500305175781,66.99749755859375,161834800.0,,cruceSMA_,70,737524.0,Broker,70,343.26499938964844,209.27000427246094,BuySell,70,,,Trades - Net Profit/Loss,70,,
71,,71,2020-04-13 00:00:00,67.07749938964844,68.42500305175781,66.4574966430664,68.3125,131022800.0,,cruceSMA_,71,737528.0,Broker,71,343.26499938964844,206.63999938964844,BuySell,71,,,Trades - Net Profit/Loss,71,,
72,,72,2020-04-14 00:00:00,70.0,72.0625,69.51249694824219,71.76249694824219,194994800.0,,cruceSMA_,72,737529.0,Broker,72,343.26499938964844,199.74000549316406,BuySell,72,,,Trades - Net Profit/Loss,72,,
73,,73,2020-04-15 00:00:00,70.5999984741211,71.5824966430664,70.15750122070312,71.10749816894531,131154400.0,,cruceSMA_,73,737530.0,Broker,73,343.26499938964844,201.0500030517578,BuySell,73,,,Trades - Net Profit/Loss,73,,
74,,74,2020-04-16 00:00:00,71.84500122070312,72.05000305175781,70.5875015258789,71.67250061035156,157125200.0,,cruceSMA_,74,737531.0,Broker,74,55.88499450683594,199.22999572753906,BuySell,74,69.52868900299072,,Trades - Net Profit/Loss,74,,-0.4250030517578125
75,,75,2020-04-17 00:00:00,71.17250061035156,71.73750305175781,69.21499633789062,70.69999694824219,215250000.0,,cruceSMA_,75,737532.0,Broker,75,55.88499450683594,197.2849884033203,BuySell,75,,,Trades - Net Profit/Loss,75,,
76,,76,2020-04-20 00:00:00,69.48750305175781,70.41999816894531,69.2125015258789,69.23249816894531,130015200.0,,cruceSMA_,76,737535.0,Broker,76,55.88499450683594,194.34999084472656,BuySell,76,,,Trades - Net Profit/Loss,76,,
77,,77,2020-04-21 00:00:00,69.06999969482422,69.3125,66.35749816894531,67.09249877929688,180991600.0,,cruceSMA_,77,737536.0,Broker,77,55.88499450683594,190.0699920654297,BuySell,77,,,Trades - Net Profit/Loss,77,,
